run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_tfidf_cos,clean,qar,tfidf_cos,classical,0.5317,0.4245,0.8333,0.7673,0.1855,0.5016,2.6462,23.0984,0.5330,0.4380,0.8467,0.7445,0.1752,0.4964,2.5036,21.8465,0.5930,,0.4
clean_qar_tfidf_svr,clean,qar,tfidf_svr,classical,0.9281,0.8270,0.9890,0.1855,0.2123,0.8475,0.9890,9.6313,0.8413,0.7883,0.9562,0.2774,0.1679,0.7080,1.4891,13.3855,0.8756,,0.3
clean_ra_tfidf_cos,clean,ra,tfidf_cos,classical,0.5260,0.4230,0.8381,0.7814,0.3302,0.5031,2.6101,22.1726,0.5327,0.4453,0.8540,0.7445,0.3139,0.5182,2.4380,20.4562,0.6253,,0.4
clean_ra_tfidf_svr,clean,ra,tfidf_svr,classical,0.9319,0.8396,0.9890,0.1730,0.2516,0.8302,0.9513,8.7468,0.8201,0.7737,0.9416,0.3066,0.2263,0.6642,1.4818,12.6434,0.8830,,0.3
raw_qar_tfidf_cos,raw,qar,tfidf_cos,classical,0.5266,0.4135,0.8412,0.7720,0.1588,0.4528,2.7704,24.3969,0.5301,0.4234,0.8467,0.7518,0.1533,0.4745,2.5912,22.7590,0.5802,,0.5
raw_qar_tfidf_svr,raw,qar,tfidf_svr,classical,0.9262,0.8318,0.9890,0.1808,0.2469,0.8396,0.9607,9.1229,0.8327,0.7372,0.9635,0.3139,0.2190,0.6934,1.4453,12.6130,0.8704,,0.4
raw_ra_tfidf_cos,raw,ra,tfidf_cos,classical,0.5206,0.4230,0.8286,0.7862,0.3208,0.4701,2.6840,23.0361,0.5475,0.4453,0.8686,0.7299,0.3212,0.4891,2.4745,21.0158,0.6388,,0.5
raw_ra_tfidf_svr,raw,ra,tfidf_svr,classical,0.9429,0.8616,0.9937,0.1462,0.2437,0.8412,0.9497,8.8398,0.8074,0.7445,0.9343,0.3358,0.1752,0.6715,1.5255,13.4950,0.8797,,0.3
segment_qar_tfidf_cos,segment,qar,tfidf_cos,classical,0.5147,0.4292,0.8270,0.7720,0.2060,0.4921,2.4387,21.1248,0.4901,0.4307,0.8321,0.7810,0.1606,0.5109,2.3723,20.6361,0.5666,,0.4
segment_qar_tfidf_svr,segment,qar,tfidf_svr,classical,0.9250,0.8255,0.9874,0.1887,0.2390,0.8491,0.9701,9.3389,0.8238,0.7883,0.9416,0.2920,0.1971,0.7226,1.4380,12.7868,0.8786,,0.3
segment_ra_tfidf_cos,segment,ra,tfidf_cos,classical,0.5151,0.4340,0.8396,0.7610,0.3522,0.5079,2.3664,19.9659,0.5148,0.4453,0.8613,0.7445,0.3212,0.5328,2.2482,18.8139,0.6002,,0.5
segment_ra_tfidf_svr,segment,ra,tfidf_svr,classical,0.9140,0.8035,0.9843,0.2138,0.2500,0.8569,0.9387,8.9211,0.8349,0.7664,0.9635,0.2920,0.1752,0.7080,1.4964,13.1726,0.8833,,0.3
