run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_tfidf_cos,raw,ra,tfidf_cos,classical,0.3860,0.3853,0.7162,0.9891,0.2729,0.4287,2.7258,24.4988,0.4753,0.3764,0.7697,0.8933,0.2528,0.4775,2.5843,21.7697,0.3796,,3.4
raw_ra_tfidf_svr,raw,ra,tfidf_svr,classical,0.8380,0.7101,0.9734,0.3164,0.1981,0.7464,1.1739,11.0086,0.7677,0.6742,0.9438,0.3820,0.2640,0.6910,1.4551,12.7421,0.6491,,57.8
raw_qar_tfidf_cos,raw,qar,tfidf_cos,classical,0.3559,0.3551,0.7367,0.9771,0.1546,0.4372,2.7089,24.7074,0.4171,0.3258,0.7865,0.9270,0.1573,0.4551,2.6011,22.6297,0.3879,,3.5
raw_qar_tfidf_svr,raw,qar,tfidf_svr,classical,0.8328,0.7089,0.9698,0.3213,0.1908,0.7464,1.1969,11.3489,0.7685,0.6742,0.9438,0.3820,0.2697,0.6966,1.4101,12.4753,0.6793,,61.2
clean_ra_tfidf_cos,clean,ra,tfidf_cos,classical,0.3998,0.4130,0.7283,0.9529,0.2995,0.4565,2.6425,23.4742,0.4734,0.4101,0.7753,0.8764,0.2809,0.5000,2.5449,21.1798,0.3961,,4.1
clean_ra_tfidf_svr,clean,ra,tfidf_svr,classical,0.8387,0.7114,0.9734,0.3152,0.2150,0.7452,1.1606,10.7016,0.7741,0.6854,0.9438,0.3708,0.2697,0.6966,1.4326,12.4612,0.6585,,59.6
clean_qar_tfidf_cos,clean,qar,tfidf_cos,classical,0.3965,0.3877,0.7560,0.9130,0.1800,0.4686,2.6027,23.4816,0.4780,0.3708,0.8258,0.8371,0.1573,0.5112,2.5281,21.7075,0.4266,,4.3
clean_qar_tfidf_svr,clean,qar,tfidf_svr,classical,0.8348,0.7126,0.9698,0.3176,0.1872,0.7560,1.1920,11.3409,0.7750,0.6854,0.9438,0.3708,0.2584,0.7135,1.3820,12.3769,0.6798,,59.4
segment_ra_tfidf_cos,segment,ra,tfidf_cos,classical,0.4071,0.4275,0.7452,0.8804,0.3092,0.4867,2.4070,21.1473,0.4956,0.4157,0.8258,0.7978,0.2921,0.4944,2.3820,19.7051,0.4391,,15.9
segment_ra_tfidf_svr,segment,ra,tfidf_svr,classical,0.8360,0.7126,0.9710,0.3164,0.2379,0.7597,1.1329,10.3564,0.7729,0.6854,0.9438,0.3708,0.2640,0.7360,1.3933,12.0820,0.6654,,60.5
segment_qar_tfidf_cos,segment,qar,tfidf_cos,classical,0.3791,0.3744,0.7645,0.8998,0.2029,0.4734,2.4674,21.9999,0.4182,0.3315,0.8315,0.8652,0.1742,0.4831,2.4270,20.7150,0.4078,,15.8
segment_qar_tfidf_svr,segment,qar,tfidf_svr,classical,0.8321,0.7089,0.9698,0.3213,0.2029,0.7597,1.1872,11.2513,0.7707,0.6798,0.9438,0.3764,0.2416,0.7247,1.4101,12.6859,0.6833,,60.1
