run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_tfidf_cos,clean,qar,tfidf_cos,classical,0.4318,0.4263,0.7838,0.8007,0.1800,0.4686,2.6027,23.4816,0.4973,0.4213,0.8596,0.7360,0.1573,0.5112,2.5281,21.7075,0.4929,,0.6
clean_qar_tfidf_svr,clean,qar,tfidf_svr,classical,0.8512,0.6993,0.9638,0.3394,0.1872,0.7560,1.1920,11.3409,0.7697,0.6573,0.9270,0.4270,0.2584,0.7135,1.3820,12.3769,0.7759,,0.4
clean_ra_tfidf_cos,clean,ra,tfidf_cos,classical,0.4220,0.4082,0.7778,0.8454,0.2995,0.4565,2.6425,23.4742,0.5201,0.4213,0.8539,0.7416,0.2809,0.5000,2.5449,21.1798,0.5005,,0.6
clean_ra_tfidf_svr,clean,ra,tfidf_svr,classical,0.8309,0.6316,0.9589,0.4094,0.2150,0.7452,1.1606,10.7016,0.7783,0.6236,0.9326,0.4494,0.2697,0.6966,1.4326,12.4612,0.7540,,0.6
raw_qar_tfidf_cos,raw,qar,tfidf_cos,classical,0.4286,0.4094,0.7959,0.8019,0.1546,0.4372,2.7089,24.7074,0.4691,0.4157,0.8596,0.7472,0.1573,0.4551,2.6011,22.6297,0.4782,,0.6
raw_qar_tfidf_svr,raw,qar,tfidf_svr,classical,0.8522,0.6969,0.9650,0.3406,0.1908,0.7464,1.1969,11.3489,0.7739,0.6404,0.9270,0.4382,0.2697,0.6966,1.4101,12.4753,0.7698,,0.4
raw_ra_tfidf_cos,raw,ra,tfidf_cos,classical,0.4221,0.4167,0.7983,0.7923,0.2729,0.4287,2.7258,24.4988,0.4626,0.4382,0.8483,0.7360,0.2528,0.4775,2.5843,21.7697,0.4883,,0.8
raw_ra_tfidf_svr,raw,ra,tfidf_svr,classical,0.8394,0.6558,0.9589,0.3853,0.1981,0.7464,1.1739,11.0086,0.7861,0.6404,0.9326,0.4326,0.2640,0.6910,1.4551,12.7421,0.7595,,0.6
segment_qar_tfidf_cos,segment,qar,tfidf_cos,classical,0.4139,0.4191,0.7717,0.8213,0.2029,0.4734,2.4674,21.9999,0.4661,0.4101,0.8596,0.7584,0.1742,0.4831,2.4270,20.7150,0.4914,,0.5
segment_qar_tfidf_svr,segment,qar,tfidf_svr,classical,0.8526,0.7065,0.9614,0.3345,0.2029,0.7597,1.1872,11.2513,0.7845,0.6854,0.9326,0.3933,0.2416,0.7247,1.4101,12.6859,0.7730,,0.4
segment_ra_tfidf_cos,segment,ra,tfidf_cos,classical,0.4221,0.4734,0.7343,0.8418,0.3092,0.4867,2.4070,21.1473,0.4665,0.5000,0.7697,0.7753,0.2921,0.4944,2.3820,19.7051,0.4865,,0.5
segment_ra_tfidf_svr,segment,ra,tfidf_svr,classical,0.8458,0.6787,0.9638,0.3575,0.2379,0.7597,1.1329,10.3564,0.7904,0.6517,0.9494,0.4101,0.2640,0.7360,1.3933,12.0820,0.7731,,0.6
