run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_tfidf_cos,raw,ra,tfidf_cos,classical,0.4633,0.4010,0.7396,0.9345,0.3211,0.4872,2.5927,22.5281,0.4525,0.4444,0.7037,0.9111,0.3481,0.5111,2.3778,21.2222,0.4849,,2.7
raw_ra_tfidf_svr,raw,ra,tfidf_svr,classical,0.9038,0.7843,0.9952,0.2204,0.2891,0.8339,0.8978,8.1774,0.7906,0.6222,0.9704,0.4074,0.1778,0.6815,1.4593,12.6596,0.7707,,30.2
raw_qar_tfidf_cos,raw,qar,tfidf_cos,classical,0.4099,0.3163,0.7444,1.0032,0.1677,0.4696,2.6597,23.7473,0.3884,0.3481,0.7333,0.9778,0.1778,0.4889,2.4963,22.8818,0.4009,,2.8
raw_qar_tfidf_svr,raw,qar,tfidf_svr,classical,0.9029,0.7827,0.9952,0.2220,0.2141,0.8498,0.9681,9.5405,0.7972,0.6296,0.9704,0.4000,0.1630,0.6741,1.4741,13.1781,0.7667,,29.4
clean_ra_tfidf_cos,clean,ra,tfidf_cos,classical,0.4844,0.4473,0.7604,0.8738,0.3259,0.5224,2.5256,21.7760,0.4879,0.4889,0.7556,0.8222,0.3481,0.5259,2.3333,20.3827,0.5052,,3.3
clean_ra_tfidf_svr,clean,ra,tfidf_svr,classical,0.9037,0.7843,0.9952,0.2204,0.2428,0.8339,0.9457,9.1412,0.7839,0.6296,0.9630,0.4074,0.1556,0.6815,1.4889,13.2707,0.7667,,30.7
clean_qar_tfidf_cos,clean,qar,tfidf_cos,classical,0.4450,0.3546,0.7827,0.9249,0.1757,0.5176,2.5479,22.5572,0.4203,0.3852,0.7704,0.9037,0.1926,0.5111,2.4148,21.9806,0.4255,,3.4
clean_qar_tfidf_svr,clean,qar,tfidf_svr,classical,0.9024,0.7859,0.9936,0.2204,0.2668,0.8610,0.9042,8.4569,0.8024,0.6370,0.9704,0.3926,0.1778,0.6889,1.4519,12.7831,0.7600,,30.5
segment_ra_tfidf_cos,segment,ra,tfidf_cos,classical,0.5118,0.4425,0.7955,0.8115,0.3626,0.5272,2.2588,19.3730,0.5030,0.4667,0.7926,0.7852,0.3704,0.5111,2.1481,18.5926,0.5003,,13.0
segment_ra_tfidf_svr,segment,ra,tfidf_svr,classical,0.9045,0.7859,0.9952,0.2188,0.2891,0.8419,0.8978,8.1721,0.7946,0.6296,0.9704,0.4000,0.2000,0.7111,1.4148,12.2707,0.7582,,34.6
segment_qar_tfidf_cos,segment,qar,tfidf_cos,classical,0.4690,0.3658,0.7955,0.8674,0.2173,0.5128,2.3291,20.5148,0.4519,0.3630,0.8074,0.8667,0.2074,0.5185,2.2444,20.2213,0.4388,,13.1
segment_qar_tfidf_svr,segment,qar,tfidf_svr,classical,0.9039,0.7891,0.9936,0.2173,0.2604,0.8482,0.9281,8.6620,0.8026,0.6444,0.9704,0.3852,0.1704,0.7185,1.4296,12.6905,0.7502,,33.8
