run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_bilstm_maxfeat,raw,ra,bilstm_maxfeat,bilstm_maxfeat,0.8385,0.7013,0.9712,0.3291,0.5000,0.7540,0.9920,7.9210,0.8103,0.7111,0.9481,0.3407,0.4667,0.7185,1.2074,9.3457,0.7501,15,19.4
raw_qar_bilstm_maxfeat,raw,qar,bilstm_maxfeat,bilstm_maxfeat,0.8732,0.7620,0.9808,0.2604,0.4649,0.7891,0.9457,7.7586,0.8058,0.7259,0.9407,0.3407,0.4074,0.7407,1.2815,10.0556,0.6974,20,20.4
clean_ra_bilstm_maxfeat,clean,ra,bilstm_maxfeat,bilstm_maxfeat,0.7370,0.6102,0.9521,0.4457,0.3882,0.6550,1.4489,11.6670,0.7205,0.6000,0.9407,0.4667,0.4370,0.6296,1.5037,11.5370,0.6962,10,15.0
clean_qar_bilstm_maxfeat,clean,qar,bilstm_maxfeat,bilstm_maxfeat,0.6799,0.5304,0.9521,0.5256,0.3163,0.5591,1.6454,13.8114,0.6993,0.5630,0.9556,0.4889,0.3259,0.5630,1.7556,14.3210,0.6447,10,15.1
segment_ra_bilstm_maxfeat,segment,ra,bilstm_maxfeat,bilstm_maxfeat,0.8636,0.7173,0.9808,0.3035,0.4521,0.7556,1.0367,8.3910,0.7790,0.6667,0.9185,0.4148,0.4444,0.6963,1.3926,11.1111,0.7716,18,31.8
segment_qar_bilstm_maxfeat,segment,qar,bilstm_maxfeat,bilstm_maxfeat,0.5522,0.4473,0.8978,0.6565,0.2188,0.4633,2.1214,18.4143,0.5820,0.4815,0.8963,0.6222,0.1778,0.5259,2.0370,17.9065,0.5372,4,19.7
raw_ra_dual_mbert_maxfeat,raw,ra,dual_mbert_maxfeat,dual_maxfeat,0.8742,0.7668,0.9712,0.2620,0.4744,0.7891,0.9840,8.0524,0.7708,0.7037,0.9259,0.3778,0.4741,0.7556,1.2889,9.9815,0.7174,18,172.0
raw_ra_dual_xlmr_maxfeat,raw,ra,dual_xlmr_maxfeat,dual_maxfeat,0.7804,0.6486,0.9505,0.4026,0.3754,0.6869,1.3770,11.3633,0.7914,0.6593,0.9630,0.3852,0.3704,0.7037,1.4519,11.5864,0.7329,9,121.2
raw_ra_dual_gte_maxfeat,raw,ra,dual_gte_maxfeat,dual_maxfeat,0.8957,0.7796,0.9856,0.2348,0.4521,0.8179,0.8898,7.4215,0.8366,0.7407,0.9630,0.3037,0.4815,0.7704,1.1407,9.2407,0.8202,5,103.2
raw_ra_cross_mbert_maxfeat,raw,ra,cross_mbert_maxfeat,cross_maxfeat,0.7565,0.6645,0.9361,0.4042,0.4281,0.6917,1.4026,11.1665,0.7488,0.6741,0.9333,0.4000,0.4741,0.6593,1.5185,11.4753,0.6395,5,53.1
raw_ra_cross_xlmr_maxfeat,raw,ra,cross_xlmr_maxfeat,cross_maxfeat,0.8000,0.6645,0.9569,0.3802,0.4010,0.7236,1.2428,10.3263,0.7251,0.6370,0.9407,0.4444,0.4222,0.6667,1.4000,11.1049,0.7642,8,74.9
raw_ra_cross_gte_maxfeat,raw,ra,cross_gte_maxfeat,cross_maxfeat,0.8183,0.6965,0.9601,0.3498,0.4185,0.7428,1.1597,9.5331,0.8092,0.6963,0.9481,0.3630,0.4667,0.7556,1.2000,9.6667,0.7519,6,76.3
raw_qar_dual_mbert_maxfeat,raw,qar,dual_mbert_maxfeat,dual_maxfeat,0.8460,0.7204,0.9712,0.3083,0.4776,0.7796,1.0559,8.4522,0.7829,0.7111,0.9333,0.3630,0.5333,0.7556,1.2593,9.6605,0.6581,12,142.5
raw_qar_dual_xlmr_maxfeat,raw,qar,dual_xlmr_maxfeat,dual_maxfeat,0.8811,0.7684,0.9808,0.2540,0.5335,0.8083,0.8722,7.1516,0.7807,0.7037,0.9407,0.3778,0.4963,0.7778,1.2444,9.6358,0.7865,14,163.5
raw_qar_dual_gte_maxfeat,raw,qar,dual_gte_maxfeat,dual_maxfeat,0.9433,0.8594,0.9952,0.1454,0.5719,0.8754,0.6294,5.2292,0.8296,0.7481,0.9481,0.3185,0.6074,0.7852,1.0444,7.9753,0.8088,11,162.1
raw_qar_cross_mbert_maxfeat,raw,qar,cross_mbert_maxfeat,cross_maxfeat,0.7974,0.7173,0.9393,0.3514,0.4968,0.7540,1.1933,9.4706,0.7276,0.6593,0.8963,0.4593,0.5037,0.6741,1.5481,11.7037,0.6467,11,84.7
raw_qar_cross_xlmr_maxfeat,raw,qar,cross_xlmr_maxfeat,cross_maxfeat,0.8741,0.7716,0.9665,0.2636,0.4888,0.8227,0.8962,7.5280,0.8073,0.7185,0.9333,0.3556,0.4667,0.7481,1.2667,9.8086,0.7518,11,90.6
raw_qar_cross_gte_maxfeat,raw,qar,cross_gte_maxfeat,cross_maxfeat,0.9190,0.8355,0.9888,0.1773,0.5559,0.8834,0.6789,5.7885,0.8121,0.7481,0.9333,0.3259,0.5333,0.7926,1.1778,8.9444,0.7751,11,107.6
clean_ra_dual_mbert_maxfeat,clean,ra,dual_mbert_maxfeat,dual_maxfeat,0.6352,0.5304,0.8978,0.5767,0.3179,0.5974,1.7157,14.9990,0.6607,0.5926,0.9111,0.5111,0.3185,0.6296,1.6593,14.2531,0.5914,6,90.7
clean_ra_dual_xlmr_maxfeat,clean,ra,dual_xlmr_maxfeat,dual_maxfeat,0.8863,0.7620,0.9824,0.2572,0.5319,0.8115,0.8530,6.8703,0.7821,0.7037,0.9407,0.3704,0.4741,0.7481,1.2370,9.4136,0.7850,12,147.0
clean_ra_dual_gte_maxfeat,clean,ra,dual_gte_maxfeat,dual_maxfeat,0.9379,0.8578,0.9936,0.1486,0.6262,0.9313,0.4936,4.1680,0.8617,0.7704,0.9704,0.2667,0.5852,0.7926,0.9481,7.5617,0.8113,9,142.2
clean_ra_cross_mbert_maxfeat,clean,ra,cross_mbert_maxfeat,cross_maxfeat,0.6873,0.6150,0.8914,0.4984,0.2827,0.6741,1.6965,14.7227,0.6485,0.6000,0.8963,0.5259,0.2370,0.6074,1.9185,16.1349,0.6146,16,111.9
