run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_bilstm_maxfeat,clean,qar,bilstm_maxfeat,bilstm_maxfeat,0.6936,0.5224,0.9329,0.5607,0.3163,0.5591,1.6454,13.8114,0.7157,0.5556,0.9333,0.5185,0.3259,0.5630,1.7556,14.3210,0.6739,,0.6
clean_qar_cross_gte_maxfeat,clean,qar,cross_gte_maxfeat,cross_maxfeat,0.8919,0.7668,0.9760,0.2572,0.5399,0.8482,0.7636,6.3487,0.7584,0.6815,0.9111,0.4296,0.4889,0.7481,1.2519,9.5926,0.7851,,0.4
clean_qar_cross_mbert_maxfeat,clean,qar,cross_mbert_maxfeat,cross_maxfeat,0.4446,0.4776,0.7524,0.7939,0.2188,0.4681,2.1821,19.6453,0.4728,0.5111,0.7704,0.7481,0.1852,0.3926,2.3407,21.2266,0.5084,,0.4
clean_qar_cross_xlmr_maxfeat,clean,qar,cross_xlmr_maxfeat,cross_maxfeat,0.8761,0.7812,0.9712,0.2524,0.5463,0.7891,0.8722,7.1370,0.7383,0.6741,0.9185,0.4370,0.5333,0.7037,1.3185,9.9753,0.7919,,0.4
clean_qar_dual_gte_maxfeat,clean,qar,dual_gte_maxfeat,dual_maxfeat,0.9412,0.8530,0.9952,0.1518,0.5958,0.8978,0.5671,4.7193,0.8228,0.7481,0.9407,0.3259,0.5704,0.8000,0.9778,7.8210,0.8322,,0.5
clean_qar_dual_mbert_maxfeat,clean,qar,dual_mbert_maxfeat,dual_maxfeat,0.6207,0.4249,0.8610,0.7364,0.2300,0.5942,1.8642,16.3776,0.6384,0.4519,0.8667,0.7037,0.2148,0.6074,1.9185,16.6781,0.5959,,0.6
clean_qar_dual_xlmr_maxfeat,clean,qar,dual_xlmr_maxfeat,dual_maxfeat,0.8821,0.7620,0.9856,0.2540,0.5064,0.8291,0.7971,6.5779,0.8028,0.6741,0.9630,0.3704,0.4963,0.7481,1.2000,9.7407,0.8135,,0.7
clean_ra_bilstm_maxfeat,clean,ra,bilstm_maxfeat,bilstm_maxfeat,0.7402,0.6565,0.8898,0.4712,0.3882,0.6550,1.4489,11.6670,0.7316,0.6519,0.8963,0.4741,0.4370,0.6296,1.5037,11.5370,0.7512,,0.6
clean_ra_cross_gte_maxfeat,clean,ra,cross_gte_maxfeat,cross_maxfeat,0.9161,0.8019,0.9936,0.2045,0.4824,0.8754,0.7236,6.3727,0.7949,0.7333,0.9407,0.3407,0.4889,0.7333,1.1481,9.6358,0.8283,,0.5
clean_ra_cross_mbert_maxfeat,clean,ra,cross_mbert_maxfeat,cross_maxfeat,0.6848,0.5990,0.8818,0.5319,0.2827,0.6741,1.6965,14.7227,0.6639,0.6296,0.8741,0.5259,0.2370,0.6074,1.9185,16.1349,0.6381,,0.4
clean_ra_cross_xlmr_maxfeat,clean,ra,cross_xlmr_maxfeat,cross_maxfeat,0.8772,0.7939,0.9633,0.2460,0.6182,0.8610,0.6581,5.4300,0.7783,0.7333,0.9259,0.3630,0.6148,0.7926,1.0148,7.7531,0.8259,,0.7
clean_ra_dual_gte_maxfeat,clean,ra,dual_gte_maxfeat,dual_maxfeat,0.9424,0.8690,0.9936,0.1374,0.6262,0.9313,0.4936,4.1680,0.8683,0.7852,0.9704,0.2519,0.5852,0.7926,0.9481,7.5617,0.8212,,0.5
