run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_dual_mbert,raw,ra,dual_mbert,dual,0.7761,0.6406,0.9393,0.4249,0.3850,0.6709,1.4121,11.6695,0.7982,0.7037,0.9407,0.3630,0.4074,0.7333,1.4074,11.0247,0.6718,5,84.0
raw_ra_dual_xlmr,raw,ra,dual_xlmr,dual,0.7183,0.6134,0.8994,0.4952,0.3642,0.6246,1.6374,13.5307,0.7598,0.6519,0.9185,0.4370,0.3852,0.6519,1.5704,12.3889,0.7049,4,78.1
raw_ra_dual_gte,raw,ra,dual_gte,dual,0.9227,0.8227,0.9920,0.1853,0.6006,0.8562,0.6757,5.4286,0.8305,0.7481,0.9481,0.3111,0.5778,0.7778,1.0815,8.3395,0.8208,6,114.5
raw_ra_cross_mbert,raw,ra,cross_mbert,cross,0.7415,0.6438,0.9361,0.4233,0.4105,0.6773,1.3898,11.1585,0.7120,0.6370,0.9111,0.4519,0.3778,0.6593,1.5778,12.2840,0.6430,7,65.0
raw_ra_cross_xlmr,raw,ra,cross_xlmr,cross,0.8683,0.7556,0.9760,0.2716,0.4968,0.7827,0.9489,7.7651,0.7998,0.7481,0.9481,0.3259,0.4593,0.7185,1.2148,9.6111,0.8084,11,99.2
raw_ra_cross_gte,raw,ra,cross_gte,cross,0.8786,0.7939,0.9681,0.2412,0.5080,0.8514,0.8578,7.1875,0.8224,0.7481,0.9481,0.3185,0.4889,0.7852,1.0667,8.7037,0.8153,8,93.2
raw_qar_dual_mbert,raw,qar,dual_mbert,dual,0.7851,0.6613,0.9537,0.3866,0.3994,0.7061,1.3419,10.9919,0.7493,0.6889,0.9333,0.3926,0.4519,0.7111,1.4148,11.2840,0.6587,6,94.4
raw_qar_dual_xlmr,raw,qar,dual_xlmr,dual,0.8002,0.7125,0.9457,0.3435,0.4681,0.7268,1.2173,9.7315,0.7891,0.7111,0.9407,0.3556,0.4815,0.7111,1.2519,9.9506,0.7037,10,129.7
raw_qar_dual_gte,raw,qar,dual_gte,dual,0.9405,0.8626,0.9952,0.1422,0.6837,0.9026,0.4776,3.9457,0.8216,0.7259,0.9556,0.3259,0.6148,0.7556,1.0370,7.9444,0.8295,16,217.2
raw_qar_cross_mbert,raw,qar,cross_mbert,cross,0.8019,0.7252,0.9441,0.3387,0.4904,0.7524,1.1278,8.9953,0.7354,0.6963,0.9333,0.4000,0.5333,0.7037,1.3704,10.3642,0.6449,15,106.6
raw_qar_cross_xlmr,raw,qar,cross_xlmr,cross,0.7552,0.6613,0.9233,0.4361,0.3978,0.6949,1.4425,12.2444,0.7373,0.5926,0.9185,0.5037,0.3556,0.6741,1.5852,12.8519,0.7356,9,83.7
raw_qar_cross_gte,raw,qar,cross_gte,cross,0.9022,0.7891,0.9872,0.2252,0.4728,0.8323,0.8227,7.1343,0.8035,0.7333,0.9259,0.3481,0.5259,0.7778,1.1926,9.5309,0.7806,11,108.8
clean_ra_dual_mbert,clean,ra,dual_mbert,dual,0.6150,0.5064,0.9026,0.5974,0.2732,0.5751,1.8131,15.9315,0.6677,0.5481,0.9185,0.5333,0.2370,0.5704,1.8296,16.1781,0.5761,9,118.6
clean_ra_dual_xlmr,clean,ra,dual_xlmr,dual,0.9003,0.7812,0.9856,0.2332,0.5383,0.8067,0.8019,6.5524,0.8092,0.7185,0.9481,0.3481,0.5037,0.7704,1.2000,9.1173,0.7577,17,180.2
clean_ra_dual_gte,clean,ra,dual_gte,dual,0.9158,0.8067,0.9936,0.1997,0.5288,0.8610,0.7348,6.0572,0.8512,0.7704,0.9630,0.2741,0.5185,0.7926,0.9926,7.9198,0.8104,6,113.5
clean_ra_cross_mbert,clean,ra,cross_mbert,cross,0.4944,0.3802,0.8882,0.7348,0.1629,0.5495,2.1070,18.5914,0.4369,0.3259,0.8593,0.8148,0.1185,0.4741,2.3111,20.3078,0.4280,4,48.4
clean_ra_cross_xlmr,clean,ra,cross_xlmr,cross,0.6594,0.5351,0.9201,0.5479,0.2796,0.6214,1.7796,15.0428,0.6277,0.5407,0.9259,0.5556,0.2741,0.6370,1.8667,15.1049,0.6342,3,49.8
