run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_cross_gte,clean,qar,cross_gte,cross,0.8098,0.6949,0.9409,0.3690,0.4617,0.7524,1.1262,9.1684,0.8085,0.7407,0.9407,0.3333,0.4889,0.7481,1.1778,9.0802,0.7715,,0.6
clean_qar_cross_mbert,clean,qar,cross_mbert,cross,0.4744,0.4601,0.7716,0.7748,0.2716,0.5495,2.0367,17.6782,0.5149,0.4963,0.8074,0.7111,0.2148,0.5111,2.2667,19.5608,0.5400,,0.6
clean_qar_cross_xlmr,clean,qar,cross_xlmr,cross,0.8222,0.7348,0.9393,0.3323,0.4617,0.7220,1.2316,10.1282,0.7618,0.7185,0.9259,0.3852,0.4444,0.6963,1.5185,11.7778,0.7851,,0.5
clean_qar_dual_gte,clean,qar,dual_gte,dual,0.8715,0.7077,0.9856,0.3083,0.4904,0.8307,0.8690,6.9185,0.8293,0.7037,0.9556,0.3481,0.5481,0.7630,1.0889,8.5864,0.8564,,0.5
clean_qar_dual_mbert,clean,qar,dual_mbert,dual,0.6987,0.5224,0.9010,0.5879,0.2173,0.6550,1.7157,15.2381,0.6713,0.5111,0.8963,0.6222,0.2000,0.6296,1.7852,16.0423,0.6320,,0.4
clean_qar_dual_xlmr,clean,qar,dual_xlmr,dual,0.8921,0.7796,0.9904,0.2316,0.5016,0.8083,0.8530,7.1623,0.8145,0.6889,0.9704,0.3556,0.4741,0.7259,1.3111,10.6049,0.8050,,0.7
clean_ra_cross_gte,clean,ra,cross_gte,cross,0.8710,0.7332,0.9824,0.2843,0.4649,0.7987,0.9521,7.9728,0.8255,0.7185,0.9556,0.3333,0.4889,0.7333,1.2000,9.6975,0.8652,,0.5
clean_ra_cross_mbert,clean,ra,cross_mbert,cross,0.5741,0.4569,0.8706,0.6869,0.1629,0.5495,2.1070,18.5914,0.5546,0.5111,0.8444,0.6667,0.1185,0.4741,2.3111,20.3078,0.5494,,0.4
clean_ra_cross_xlmr,clean,ra,cross_xlmr,cross,0.6941,0.6054,0.8610,0.5415,0.2796,0.6214,1.7796,15.0428,0.6533,0.6296,0.8370,0.5630,0.2741,0.6370,1.8667,15.1049,0.7575,,0.6
clean_ra_dual_gte,clean,ra,dual_gte,dual,0.9074,0.7684,0.9920,0.2396,0.5288,0.8610,0.7348,6.0572,0.8454,0.7481,0.9630,0.3037,0.5185,0.7926,0.9926,7.9198,0.8503,,0.5
clean_ra_dual_mbert,clean,ra,dual_mbert,dual,0.6494,0.4952,0.8802,0.6342,0.2732,0.5751,1.8131,15.9315,0.6621,0.5185,0.8889,0.6074,0.2370,0.5704,1.8296,16.1781,0.6209,,0.4
clean_ra_dual_xlmr,clean,ra,dual_xlmr,dual,0.8826,0.7093,0.9792,0.3115,0.5383,0.8067,0.8019,6.5524,0.7932,0.6593,0.9407,0.4222,0.5037,0.7704,1.2000,9.1173,0.7678,,0.5
raw_qar_cross_gte,raw,qar,cross_gte,cross,0.9063,0.8003,0.9872,0.2141,0.4728,0.8323,0.8227,7.1343,0.8092,0.7481,0.9259,0.3333,0.5259,0.7778,1.1926,9.5309,0.7970,,0.7
raw_qar_cross_mbert,raw,qar,cross_mbert,cross,0.8104,0.6565,0.9665,0.3786,0.4904,0.7524,1.1278,8.9953,0.7194,0.6370,0.9333,0.4519,0.5333,0.7037,1.3704,10.3642,0.6681,,0.7
