run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_bilstm_maxfeat,raw,ra,bilstm_maxfeat,bilstm_maxfeat,0.9124,0.8160,0.9827,0.2028,0.5094,0.8412,0.8019,6.6526,0.7422,0.7007,0.9124,0.4088,0.4380,0.6934,1.5182,11.3260,0.8600,18,22.4
raw_qar_bilstm_maxfeat,raw,qar,bilstm_maxfeat,bilstm_maxfeat,0.8205,0.6651,0.9670,0.3711,0.4261,0.7060,1.2311,9.7881,0.7270,0.6058,0.9197,0.4818,0.4015,0.6569,1.5985,11.9647,0.8199,17,19.9
clean_ra_bilstm_maxfeat,clean,ra,bilstm_maxfeat,bilstm_maxfeat,0.8666,0.7343,0.9717,0.2956,0.5031,0.7909,0.9513,7.6707,0.6973,0.6277,0.8978,0.4964,0.4526,0.6934,1.5912,12.0316,0.8174,15,19.6
clean_qar_bilstm_maxfeat,clean,qar,bilstm_maxfeat,bilstm_maxfeat,0.7517,0.5991,0.9465,0.4607,0.3758,0.6651,1.4450,11.6738,0.6434,0.5547,0.9124,0.5620,0.3796,0.6277,1.7591,13.4611,0.7809,11,15.8
segment_ra_bilstm_maxfeat,segment,ra,bilstm_maxfeat,bilstm_maxfeat,0.8933,0.7657,0.9811,0.2531,0.5409,0.8113,0.7783,6.3670,0.7476,0.6204,0.9343,0.4599,0.4526,0.7153,1.4161,10.6144,0.8624,20,30.5
segment_qar_bilstm_maxfeat,segment,qar,bilstm_maxfeat,bilstm_maxfeat,0.8069,0.6651,0.9497,0.3899,0.4387,0.7013,1.2531,9.9860,0.6301,0.6204,0.8686,0.5474,0.4161,0.6350,1.8321,13.7105,0.8247,20,30.8
raw_ra_dual_mbert_maxfeat,raw,ra,dual_mbert_maxfeat,dual_maxfeat,0.7836,0.6164,0.9450,0.4403,0.3931,0.6903,1.3978,11.5791,0.6934,0.6131,0.9051,0.4964,0.3650,0.6204,1.7445,13.2482,0.8094,8,112.5
raw_ra_dual_xlmr_maxfeat,raw,ra,dual_xlmr_maxfeat,dual_maxfeat,0.9133,0.8223,0.9796,0.1981,0.5566,0.8459,0.7469,6.2071,0.8071,0.7299,0.9489,0.3431,0.5474,0.7080,1.2263,9.2579,0.8753,20,189.6
raw_ra_dual_gte_maxfeat,raw,ra,dual_gte_maxfeat,dual_maxfeat,0.9363,0.8333,0.9921,0.1745,0.5582,0.8852,0.6179,5.1509,0.8161,0.7153,0.9562,0.3504,0.4745,0.7591,1.2336,9.2944,0.8844,10,153.9
raw_ra_cross_mbert_maxfeat,raw,ra,cross_mbert_maxfeat,cross_maxfeat,0.8453,0.7469,0.9575,0.3019,0.5142,0.7673,1.0487,8.5054,0.6727,0.6496,0.9051,0.4818,0.4599,0.6277,1.7226,12.8041,0.8363,16,106.8
