run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_bilstm_maxfeat,clean,qar,bilstm_maxfeat,bilstm_maxfeat,0.7653,0.6368,0.9403,0.4292,0.3758,0.6651,1.4450,11.6738,0.6770,0.6131,0.9197,0.4964,0.3796,0.6277,1.7591,13.4611,0.8210,,0.7
clean_qar_cross_gte_maxfeat,clean,qar,cross_gte_maxfeat,cross_maxfeat,0.9084,0.7752,0.9937,0.2311,0.4827,0.7956,0.8601,7.4702,0.7631,0.6788,0.9270,0.4088,0.4672,0.6934,1.4818,11.3200,0.8668,,0.5
clean_qar_cross_mbert_maxfeat,clean,qar,cross_mbert_maxfeat,cross_maxfeat,0.4621,0.3821,0.7531,0.9119,0.1509,0.5142,2.3569,20.6729,0.4819,0.4161,0.7737,0.8467,0.1168,0.5547,2.4818,20.9220,0.5580,,0.6
clean_qar_cross_xlmr_maxfeat,clean,qar,cross_xlmr_maxfeat,cross_maxfeat,0.8232,0.7154,0.9481,0.3459,0.4418,0.7547,1.2060,9.6687,0.7568,0.7080,0.9197,0.4015,0.4015,0.7737,1.4234,11.0827,0.8373,,0.5
clean_qar_dual_gte_maxfeat,clean,qar,dual_gte_maxfeat,dual_maxfeat,0.9278,0.8176,0.9921,0.1903,0.5220,0.8286,0.7626,6.1978,0.8422,0.7518,0.9489,0.3066,0.4745,0.7153,1.2190,9.1667,0.8918,,0.5
clean_qar_dual_mbert_maxfeat,clean,qar,dual_mbert_maxfeat,dual_maxfeat,0.6713,0.5503,0.8852,0.5818,0.2201,0.6148,1.8884,16.2770,0.6040,0.5401,0.8467,0.6350,0.1460,0.6058,2.1095,18.0266,0.7193,,0.6
clean_qar_dual_xlmr_maxfeat,clean,qar,dual_xlmr_maxfeat,dual_maxfeat,0.8565,0.7358,0.9670,0.2987,0.5031,0.7437,1.0739,8.3783,0.8057,0.7080,0.9562,0.3504,0.5693,0.7372,1.2336,9.0511,0.8287,,0.5
clean_ra_bilstm_maxfeat,clean,ra,bilstm_maxfeat,bilstm_maxfeat,0.8668,0.7453,0.9670,0.2893,0.5031,0.7909,0.9513,7.6707,0.6849,0.6496,0.8759,0.4964,0.4526,0.6934,1.5912,12.0316,0.8315,,0.6
clean_ra_cross_gte_maxfeat,clean,ra,cross_gte_maxfeat,cross_maxfeat,0.8699,0.7469,0.9733,0.2846,0.4890,0.8066,1.0142,8.1042,0.7694,0.7153,0.9270,0.3796,0.4891,0.7518,1.3723,10.1946,0.8833,,0.5
clean_ra_cross_mbert_maxfeat,clean,ra,cross_mbert_maxfeat,cross_maxfeat,0.6736,0.5770,0.8947,0.5330,0.4072,0.6667,1.6305,13.3361,0.6345,0.5182,0.8978,0.5985,0.3431,0.6350,1.8394,14.6472,0.7191,,0.5
clean_ra_cross_xlmr_maxfeat,clean,ra,cross_xlmr_maxfeat,cross_maxfeat,0.8975,0.7987,0.9796,0.2248,0.5786,0.8255,0.8097,6.4952,0.8089,0.7299,0.9562,0.3358,0.5474,0.7591,1.1971,9.1788,0.8940,,0.5
clean_ra_dual_gte_maxfeat,clean,ra,dual_gte_maxfeat,dual_maxfeat,0.9012,0.7783,0.9811,0.2406,0.4261,0.7767,0.9560,7.9116,0.8400,0.7299,0.9562,0.3212,0.4453,0.7007,1.2774,9.8297,0.9053,,0.5
clean_ra_dual_mbert_maxfeat,clean,ra,dual_mbert_maxfeat,dual_maxfeat,0.6950,0.5377,0.8915,0.5896,0.1918,0.5865,1.9292,16.7434,0.6396,0.5474,0.8759,0.6131,0.1825,0.5912,2.0292,17.1628,0.7411,,0.6
clean_ra_dual_xlmr_maxfeat,clean,ra,dual_xlmr_maxfeat,dual_maxfeat,0.8131,0.6871,0.9481,0.3711,0.4308,0.7280,1.2280,9.9309,0.7600,0.6569,0.9343,0.4307,0.4307,0.7226,1.4088,10.9793,0.8391,,0.7
raw_qar_bilstm_maxfeat,raw,qar,bilstm_maxfeat,bilstm_maxfeat,0.8259,0.7186,0.9387,0.3491,0.4261,0.7060,1.2311,9.7881,0.7364,0.6715,0.8978,0.4526,0.4015,0.6569,1.5985,11.9647,0.8635,,0.5
raw_qar_cross_gte_maxfeat,raw,qar,cross_gte_maxfeat,cross_maxfeat,0.9009,0.7877,0.9858,0.2280,0.4843,0.8428,0.8050,6.9027,0.7501,0.6861,0.9197,0.4161,0.4526,0.7080,1.4745,11.0949,0.8938,,0.5
raw_qar_cross_mbert_maxfeat,raw,qar,cross_mbert_maxfeat,cross_maxfeat,0.8180,0.7075,0.9481,0.3506,0.4623,0.7138,1.2642,10.2415,0.6345,0.6350,0.8832,0.5255,0.4234,0.6131,1.9124,14.2153,0.8561,,0.5
raw_qar_cross_xlmr_maxfeat,raw,qar,cross_xlmr_maxfeat,cross_maxfeat,0.8995,0.8050,0.9748,0.2217,0.5645,0.7925,0.8412,6.7286,0.7507,0.7372,0.8978,0.3869,0.5036,0.7299,1.4234,10.3285,0.8654,,0.5
