run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_dual_mbert,raw,ra,dual_mbert,dual,0.8561,0.7563,0.9560,0.2893,0.5204,0.7484,1.0676,8.5521,0.7279,0.6423,0.9197,0.4599,0.4088,0.6642,1.6350,12.1837,0.8114,17,176.3
raw_ra_dual_xlmr,raw,ra,dual_xlmr,dual,0.8935,0.7610,0.9843,0.2547,0.5330,0.8160,0.8443,6.7453,0.7595,0.6934,0.9270,0.4015,0.5036,0.7299,1.2993,9.8783,0.8567,15,178.1
raw_ra_dual_gte,raw,ra,dual_gte,dual,0.9394,0.8286,0.9969,0.1745,0.5597,0.8821,0.6148,5.2020,0.8069,0.7445,0.9416,0.3358,0.4818,0.7518,1.2774,9.5499,0.8821,13,183.1
raw_ra_cross_mbert,raw,ra,cross_mbert,cross,0.7357,0.6619,0.9135,0.4355,0.4371,0.6808,1.4450,11.4771,0.6722,0.6350,0.8832,0.4964,0.4015,0.6204,1.7883,13.4002,0.7887,6,59.2
raw_ra_cross_xlmr,raw,ra,cross_xlmr,cross,0.8957,0.7814,0.9811,0.2390,0.5503,0.8176,0.8223,6.7754,0.7785,0.7007,0.9197,0.3869,0.4818,0.7445,1.2993,10.3285,0.8873,14,118.8
raw_ra_cross_gte,raw,ra,cross_gte,cross,0.8912,0.8082,0.9701,0.2264,0.5566,0.8365,0.8443,6.8164,0.7681,0.7226,0.9270,0.3796,0.5328,0.7372,1.3504,10.1460,0.8745,11,111.3
raw_qar_dual_mbert,raw,qar,dual_mbert,dual,0.8168,0.6950,0.9513,0.3616,0.4623,0.6997,1.2579,10.1378,0.7135,0.6496,0.9197,0.4599,0.4015,0.6569,1.7080,12.8589,0.8323,10,127.3
raw_qar_dual_xlmr,raw,qar,dual_xlmr,dual,0.9100,0.7987,0.9858,0.2154,0.5456,0.8396,0.7657,6.1847,0.7673,0.6788,0.9416,0.4015,0.4380,0.6715,1.4307,10.9246,0.8574,15,171.8
raw_qar_dual_gte,raw,qar,dual_gte,dual,0.9317,0.8192,0.9937,0.1871,0.5330,0.8711,0.6808,5.6855,0.8140,0.7299,0.9416,0.3431,0.5109,0.7226,1.2117,9.2701,0.8840,12,174.6
raw_qar_cross_mbert,raw,qar,cross_mbert,cross,0.8348,0.7264,0.9513,0.3270,0.5157,0.7421,1.1006,8.7373,0.7021,0.6569,0.9124,0.4599,0.4380,0.6715,1.7007,12.4453,0.8345,19,111.4
raw_qar_cross_xlmr,raw,qar,cross_xlmr,cross,0.8535,0.7437,0.9575,0.3035,0.4638,0.7830,1.0692,8.7698,0.7527,0.6861,0.9197,0.4161,0.4161,0.7445,1.4453,11.1071,0.8636,10,88.3
raw_qar_cross_gte,raw,qar,cross_gte,cross,0.8406,0.7186,0.9575,0.3270,0.4292,0.7469,1.1494,9.3308,0.7241,0.7007,0.9124,0.4234,0.4234,0.7080,1.5036,11.2165,0.8439,7,80.0
clean_ra_dual_mbert,clean,ra,dual_mbert,dual,0.6905,0.5708,0.9088,0.5283,0.3616,0.6478,1.6053,13.4490,0.6533,0.5912,0.8832,0.5401,0.2993,0.6277,1.8394,14.9887,0.6753,14,160.1
clean_ra_dual_xlmr,clean,ra,dual_xlmr,dual,0.8050,0.6792,0.9418,0.3836,0.4465,0.7374,1.2123,9.7145,0.7706,0.6642,0.9270,0.4161,0.4453,0.6642,1.4745,11.1800,0.8279,8,115.2
clean_ra_dual_gte,clean,ra,dual_gte,dual,0.9406,0.8349,0.9969,0.1682,0.4937,0.8758,0.6903,5.8899,0.8188,0.7299,0.9489,0.3358,0.4891,0.7591,1.2044,8.9416,0.8934,13,182.3
