run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_cross_gte,clean,qar,cross_gte,cross,0.8267,0.7547,0.9371,0.3160,0.4355,0.7500,1.2091,9.8299,0.7455,0.7591,0.9051,0.3723,0.4964,0.7226,1.4453,10.6752,0.8514,,0.5
clean_qar_cross_mbert,clean,qar,cross_mbert,cross,0.5046,0.3569,0.8097,0.8585,0.2437,0.4670,2.2626,20.1492,0.5383,0.3504,0.8467,0.8102,0.2044,0.4307,2.3577,20.0070,0.5608,,0.5
clean_qar_cross_xlmr,clean,qar,cross_xlmr,cross,0.8755,0.7940,0.9560,0.2563,0.5063,0.7846,0.9811,7.9380,0.7540,0.7153,0.8978,0.4088,0.4307,0.7372,1.4088,11.1253,0.8705,,0.5
clean_qar_dual_gte,clean,qar,dual_gte,dual,0.9345,0.8318,0.9906,0.1777,0.5503,0.9088,0.6038,4.9921,0.8055,0.7737,0.9124,0.3285,0.4818,0.7664,1.2336,9.1727,0.8972,,0.5
clean_qar_dual_mbert,clean,qar,dual_mbert,dual,0.6293,0.6148,0.8491,0.5739,0.2626,0.6006,1.8852,16.4722,0.6161,0.6204,0.8321,0.5766,0.2117,0.6277,1.9051,16.2261,0.7144,,0.6
clean_qar_dual_xlmr,clean,qar,dual_xlmr,dual,0.8815,0.7516,0.9764,0.2736,0.5252,0.7940,0.8962,7.1178,0.7804,0.6642,0.9416,0.4088,0.4380,0.6861,1.3869,10.5900,0.8715,,0.5
clean_ra_cross_gte,clean,ra,cross_gte,cross,0.8558,0.7264,0.9623,0.3113,0.4418,0.7877,1.0566,8.6323,0.6994,0.6934,0.8832,0.4526,0.4818,0.7299,1.4088,10.6752,0.8686,,0.5
clean_ra_cross_mbert,clean,ra,cross_mbert,cross,0.6846,0.5912,0.8852,0.5393,0.3947,0.6494,1.6777,13.6925,0.6841,0.5839,0.8978,0.5328,0.2993,0.6204,1.9051,15.3893,0.6839,,0.5
clean_ra_cross_xlmr,clean,ra,cross_xlmr,cross,0.9010,0.7940,0.9764,0.2327,0.5896,0.8113,0.8035,6.3812,0.7849,0.7153,0.9197,0.3796,0.5036,0.7007,1.3577,10.1399,0.8772,,0.5
clean_ra_dual_gte,clean,ra,dual_gte,dual,0.9403,0.8459,0.9937,0.1604,0.4937,0.8758,0.6903,5.8899,0.8255,0.7518,0.9489,0.3139,0.4891,0.7591,1.2044,8.9416,0.9097,,0.5
