category,key,value
total,answers,1184.0
total,questions,41.0
total,students,203.0
total,subjects,4.0
label,0,14.0
label,1,153.0
label,2,327.0
label,3,191.0
label,4,499.0
subject,Biology,435.0
subject,History,433.0
subject,Geography,307.0
subject,Earth Science,9.0
max_score,5,130.0
max_score,6,55.0
max_score,7,55.0
max_score,8,135.0
max_score,10,404.0
max_score,12,59.0
max_score,15,306.0
max_score,20,40.0
answer_len_chars,min,34.0
answer_len_chars,q1,140.0
answer_len_chars,median,193.0
answer_len_chars,q3,383.0
answer_len_chars,max,1477.0
answer_len_chars,mean,278.7
