rank,word,sum_abs_shap
1,វណ្ណៈ,1.74591
2,អង្គរ,1.03643
3,ខ្មែរ,0.62181
4,មន្ត្រី,0.55617
5,ប្រទេស,0.55534
6,ទាសករ,0.37237
7,បុព្វជិត,0.35239
8,បុរេប្រវត្តិសាស្ត្រ,0.31615
9,ព្រំប្រទល់,0.31456
10,ប្រាំវណ្ណៈ,0.28219
11,សង្គម,0.26332
12,វិនិយោគ,0.24357
13,វណ្ណៈក្សត្រ,0.23626
14,នៅ,0.23511
15,សម័យ,0.23331
16,ប្រព័ន្ធ,0.21481
17,កម្ពុជា,0.1993
18,សម្រាប់,0.19223
19,មាន,0.18594
20,កសិកម្ម,0.18277
21,កំណើន,0.15422
22,ដែល,0.1474
23,ព្រោះ,0.14631
24,សេដ្ឋកិច្ច,0.14396
25,ធ្វើឲ្យ,0.13674
26,យុគថ្ម,0.13491
27,កម្លាំង,0.1283
28,ជាប់,0.12569
29,ស្វាស,0.12534
30,អនុបានជា,0.10872
