rank,word,sum_abs_shap
1,វណ្ណៈ,0.28597
2,អ្នក,0.19433
3,មាន,0.12405
4,វិនិយោគ,0.12301
5,អរម៉ូន,0.10354
6,ក្រចៅ,0.10317
7,អ្នកងារ,0.09687
8,ជាប់,0.09114
9,និង,0.08632
10,វង្សានុវង្ស,0.07513
11,សូអ៊ីត,0.07481
12,ឈ្មោល,0.07139
13,សេដ្ឋកិច្ច,0.07054
14,ប្រទេស,0.06937
15,កសិកម្ម,0.0666
16,សំខាន់,0.06311
17,ទាសករ,0.06161
18,ការផលិត,0.05882
19,ក្នុង,0.0543
20,ប្រព័ន្ធ,0.05269
21,មន្ត្រី,0.05151
22,ផលិតកម្ម,0.05041
23,កម្ពុជា,0.05038
24,សម្រាប់,0.04718
25,ប្រាំវណ្ណៈ,0.0461
26,ខ្មែរ,0.04481
27,ភេទ,0.04464
28,គឺ,0.04372
29,ម៏,0.04276
30,កម្លាំង,0.0416
