rank,word,sum_abs_shap
1,សេដ្ឋកិច្ច,0.13995
2,ជា,0.11765
3,មាន,0.09893
4,ខាងជើង,0.08248
5,និង,0.08001
6,សម្រាប់,0.07494
7,ប្រទេស,0.07405
8,សមុទ្រ,0.07127
9,នគរ,0.06413
10,ខាងត្បូង,0.06182
11,វិនិយោគ,0.05678
12,អរម៉ូន,0.0566
13,ខាងកើត,0.05021
14,ជាប់,0.05008
15,ភ្នំ,0.04615
16,ធ្វើឲ្យ,0.04325
17,សំខាន់,0.03971
18,ព្រោះ,0.03909
19,ដូចជា,0.03853
20,ផ្នែក,0.03848
21,កម្ពុជា,0.03685
22,ភេទ,0.03382
23,ភូមា,0.03134
24,ម្ប៉ា,0.03021
25,ពាង្គកាយ,0.02694
26,អូវ៉ូកូរី4,0.02587
27,ក្នុង,0.02467
28,រដ្ឋច,0.02278
29,ការផលិត,0.02245
30,អនុបានជា,0.02204
