rank,word,sum_abs_shap
1,ជា,0.71667
2,សម្រាប់,0.5
3,ធ្វើឲ្យ,0.5
4,អាណាចក្រ,0.5
5,ឯកជន,0.43333
6,ភ្នំ,0.33646
7,ភូមា,0.25521
8,ម្ប៉ា,0.25
9,ព្រោះ,0.20469
10,សមុទ្រ,0.19271
11,ខាងកើត,0.16667
12,ជាប់,0.16667
13,អាច,0.15417
14,រួមចំណែក,0.15
15,ដង,0.15
16,បន្តបន្ទាប់,0.15
17,នីមួយ,0.15
18,ម៉ាតូ,0.15
19,ការផលិត,0.15
20,សេដ្ឋកិច្ច,0.13646
21,កំណើន,0.13333
22,ក្នុង,0.13333
23,នៅ,0.09844
24,និង,0.09167
25,ខាងត្បូង,0.08854
26,រដ្ឋច,0.08333
27,ការ,0.07083
28,សម័យ,0.0625
29,អរម៉ូន,0.05
30,ចាប់ពី,0.03125
