rank,word,sum_abs_shap
1,មាន,2.33203
2,សេដ្ឋកិច្ច,2.14833
3,ប្រទេស,1.52725
4,ប្រជាជន,1.41838
5,កសិកម្ម,1.32041
6,និង,1.26016
7,អាច,1.15315
8,ដែល,1.04686
9,វណ្ណៈ,1.02855
10,កោសិកា,1.00963
11,វិស័យ,0.97647
12,ការដាំដុះ,0.9189
13,ការនេសាទ,0.87588
14,ខ្មែរ,0.82362
15,ខាងត្បូង,0.80189
16,កម្ពុជា,0.79377
17,ការងារ,0.78199
18,សម្រាប់,0.71384
19,ខាងលិច,0.69135
20,បុរេប្រវត្តិសាស្ត្រ,0.68518
21,ផ្នែក,0.65912
22,ព្រះពុទ្ធ,0.6517
23,អាជីវកម្ម,0.62918
24,គឺ,0.62404
25,យក,0.62255
26,ការចិញ្ចឹម,0.62156
27,សង្គម,0.61871
28,ខ្លួន,0.59894
29,ចាប់ពី,0.58837
30,ចិញ្ចឹម,0.58532
