rank,word,sum_abs_shap
1,សេដ្ឋកិច្ច,0.78983
2,ការនេសាទ,0.68117
3,និង,0.56158
4,ធ្វ្យើឲ,0.41091
5,កត្តា,0.40433
6,ប្រទេស,0.39646
7,ប្រជាជន,0.37142
8,កម្ពុជា,0.37008
9,ដំណាំ,0.36105
10,មាន,0.30098
11,ជាប់,0.29842
12,ក្នុង,0.29786
13,ការចិញ្ចឹម,0.27254
14,ព្រៃឈើ,0.27244
15,ទៅ,0.26741
16,អាជីវកម្ម,0.23467
17,វណ្ណៈ,0.23197
18,ទីផ្សារ,0.2281
19,សត្វ,0.22269
20,អូវុល,0.20172
21,ធ្វើ,0.19847
22,ខ្មែរ,0.19085
23,ការធ្វើ,0.18588
24,ដែល,0.18499
25,ផ្ដល់,0.17917
26,ងាយស្រួល,0.1764
27,នេសាទ,0.17505
28,កោសិកា,0.17362
29,2000,0.17216
30,ការដាំដុះ,0.17205
